,concept_name,count,count_emotion,count_sadness,count_joy,count_fear,count_anger,count_surprise,count_disgust,count_trust,count_anticipation,count_confusion,count_denial
37,"Muscle Pain, CTCAE 3",2.0,1.0,,,,,,,,,1.0,
38,Bipolar,5.0,4.0,1.0,,2.0,,,,,,1.0,
39,Gravidity,43.0,52.0,5.0,2.0,12.0,2.0,3.0,4.0,,11.0,9.0,4.0
40,Patient currently pregnant,42.0,52.0,5.0,2.0,12.0,2.0,3.0,4.0,,11.0,9.0,4.0
41,Spontaneous abortion,25.0,35.0,12.0,,10.0,1.0,2.0,,,,9.0,1.0
42,Miscarriage,25.0,35.0,12.0,,10.0,1.0,2.0,,,,9.0,1.0
43,Gestational Diabetes,1.0,,,,,,,,,,,
44,Traumatic AND/OR non-traumatic injury,3.0,,,,,,,,,,,
45,Traumatic injury,3.0,3.0,2.0,,,,,,,,,1.0
46,Vertebral column,2.0,3.0,,,2.0,,,,,1.0,,
47,Degenerative polyarthritis,2.0,1.0,,,1.0,,,,,,,
48,Entire spine,2.0,3.0,,,2.0,,,,,1.0,,
49,Entire vertebral column,2.0,3.0,,,2.0,,,,,1.0,,
50,Bipolar Disorder,11.0,15.0,5.0,,1.0,3.0,,1.0,,,3.0,2.0
51,Lupus Vulgaris,4.0,5.0,1.0,,1.0,,1.0,,,,,2.0
52,"Lupus Erythematosus, Discoid",4.0,5.0,1.0,,1.0,,1.0,,,,,2.0
53,"Lupus Erythematosus, Systemic",4.0,5.0,1.0,,1.0,,1.0,,,,,2.0
54,Lupus Erythematosus,4.0,5.0,1.0,,1.0,,1.0,,,,,2.0
55,Major Depressive Disorder,2.0,3.0,1.0,,,,1.0,,,,1.0,
56,Unipolar Depression,2.0,3.0,1.0,,,,1.0,,,,1.0,
57,Disease,10.0,17.0,5.0,,4.0,,,2.0,,1.0,3.0,2.0
58,Dissociative Identity Disorder,3.0,2.0,,,,1.0,,,,,1.0,
59,Schizophrenia,5.0,4.0,2.0,,1.0,,,,,,,1.0
60,Bristol Stool Type 2,1.0,1.0,,,,,1.0,,,,,
61,Bell Palsy,2.0,2.0,,,1.0,,,,,,1.0,
62,Congenital Abnormality,1.0,1.0,,,1.0,,,,,,,
63,Deformity,1.0,1.0,,,1.0,,,,,,,
64,Entire nail of finger,1.0,1.0,,,1.0,,,,,,,
65,Structure of nail of finger,1.0,1.0,,,1.0,,,,,,,
66,leukemia,2.0,1.0,,,1.0,,,,,,,
67,Childhood Leukemia,2.0,1.0,,,1.0,,,,,,,
68,Endometriosis,6.0,8.0,1.0,,4.0,,,,,1.0,2.0,
69,Neck Pain,2.0,5.0,1.0,,1.0,,,1.0,,,1.0,1.0
70,"Neck Pain, CTCAE 3.0",2.0,5.0,1.0,,1.0,,,1.0,,,1.0,1.0
71,"Neck Pain, CTCAE 5.0",2.0,5.0,1.0,,1.0,,,1.0,,,1.0,1.0
72,Anxiety,24.0,24.0,8.0,,9.0,1.0,,1.0,,3.0,2.0,
73,Depressive disorder,28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
74,Anxiety Disorders,27.0,27.0,8.0,,9.0,1.0,1.0,1.0,,3.0,4.0,
75,Anxiety Scale (BASC-2),23.0,22.0,7.0,,8.0,1.0,,1.0,,3.0,2.0,
76,Anxiety Visual Analogue Scale,23.0,22.0,7.0,,8.0,1.0,,1.0,,3.0,2.0,
77,"Anxiety, CTCAE 3.0",23.0,22.0,7.0,,8.0,1.0,,1.0,,3.0,2.0,
78,"Anxiety, CTCAE 5.0",23.0,22.0,7.0,,8.0,1.0,,1.0,,3.0,2.0,
79,Cancer patients and suicide and depression,31.0,20.0,10.0,,2.0,1.0,,,,4.0,2.0,1.0
80,Depressed mood,32.0,26.0,14.0,,1.0,2.0,,,,5.0,3.0,1.0
81,Depression - recess,28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
82,Depression Scale (BASC-2),28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
83,Depression Subordinate Domain,28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
84,Depression Visual Analogue Scale,28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
85,Depression motion,28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
86,"Depression, CTCAE",28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
87,Mental Depression,28.0,18.0,9.0,,1.0,1.0,,,,4.0,2.0,1.0
88,Poor short-term memory,1.0,1.0,,,,1.0,,,,,,
89,Constipation,4.0,8.0,2.0,,2.0,,,,,,2.0,2.0
90,Flatulence,1.0,,,,,,,,,,,
91,"Constipation, CTCAE",3.0,6.0,1.0,,2.0,,,,,,2.0,1.0
92,"Flatulence, CTCAE",1.0,,,,,,,,,,,
93,Have Constipation,3.0,6.0,1.0,,2.0,,,,,,2.0,1.0
94,How Much Distress Constipation,3.0,6.0,1.0,,2.0,,,,,,2.0,1.0
95,How Often Constipation,3.0,6.0,1.0,,2.0,,,,,,2.0,1.0
96,Usual Severity Constipation,3.0,6.0,1.0,,2.0,,,,,,2.0,1.0
97,oxycodone,1.0,1.0,,,1.0,,,,,,,
98,Edema,1.0,2.0,,,2.0,,,,,,,
99,Edema:Finding:Point in time:^Patient:Ordinal,1.0,2.0,,,2.0,,,,,,,
100,Oxycodone measurement,1.0,1.0,,,1.0,,,,,,,
101,General medical service,1.0,3.0,1.0,,,,1.0,1.0,,,,
102,Generalized,1.0,3.0,1.0,,,,1.0,1.0,,,,
103,Safety Reporting Documentation,1.0,3.0,1.0,,,,1.0,1.0,,,,
104,Intolerant of heat,1.0,,,,,,,,,,,
105,Exanthema,11.0,8.0,2.0,,4.0,1.0,,,,,1.0,
106,Oral Ulcer,1.0,,,,,,,,,,,
107,Kidney Calculi,3.0,3.0,,,2.0,,,,,,,1.0
108,Nephrolithiasis,3.0,3.0,,,2.0,,,,,,,1.0
109,"Keratomileusis, Laser In Situ",1.0,1.0,,,,,1.0,,,,,
110,Photorefractive Keratectomy,1.0,1.0,,,,,1.0,,,,,
111,Eye laser surgery,1.0,1.0,,,,,1.0,,,,,
112,Craniocerebral Trauma,1.0,1.0,,,1.0,,,,,,,
113,Headache,33.0,45.0,8.0,,21.0,3.0,,,,3.0,7.0,3.0
114,"Headache, CTCAE",15.0,17.0,2.0,,10.0,1.0,,,,1.0,3.0,
115,Problem,9.0,9.0,1.0,,5.0,,,1.0,,,1.0,1.0
116,Problem:Find:Pt:^Patient:Nom,9.0,9.0,1.0,,5.0,,,1.0,,,1.0,1.0
117,Somnambulism,1.0,1.0,,,,,1.0,,,,,
118,Fibromyalgia,4.0,3.0,1.0,,1.0,,,,,,,1.0
119,Glucophage,1.0,1.0,,,,,,,,1.0,,
120,Foot,6.0,4.0,,,2.0,,,,,1.0,1.0,
121,Pins and needles,1.0,2.0,,,1.0,,,,,1.0,,
122,Hematological Disease,2.0,3.0,,,1.0,,1.0,,,1.0,,
123,Sleeplessness,11.0,13.0,6.0,,1.0,1.0,,1.0,,,3.0,1.0
124,"Insomnia, CTCAE 3.0",11.0,13.0,6.0,,1.0,1.0,,1.0,,,3.0,1.0
125,"Insomnia, CTCAE 5.0",11.0,13.0,6.0,,1.0,1.0,,1.0,,,3.0,1.0
126,Sleep Quality Question,11.0,13.0,6.0,,1.0,1.0,,1.0,,,3.0,1.0
127,lithium,1.0,2.0,1.0,,1.0,,,,,,,
128,Lithium antipsychotics,1.0,2.0,1.0,,1.0,,,,,,,
129,Have Weight Loss,3.0,5.0,3.0,,2.0,,,,,,,
130,How Much Distress Weight Loss,3.0,5.0,3.0,,2.0,,,,,,,
131,How Often Weight Loss,3.0,5.0,3.0,,2.0,,,,,,,
132,Usual Severity Weight Loss,3.0,5.0,3.0,,2.0,,,,,,,
133,"Weight Loss, CTCAE",3.0,5.0,3.0,,2.0,,,,,,,
134,Weight decreased,3.0,5.0,3.0,,2.0,,,,,,,
135,Disc ( List bullets),4.0,2.0,,,1.0,,,,,1.0,,
136,Disc - Body Part,4.0,2.0,,,1.0,,,,,1.0,,
137,Disc Shape,4.0,2.0,,,1.0,,,,,1.0,,
138,Discontinued,5.0,6.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0
139,Disk Drug Form,4.0,2.0,,,1.0,,,,,1.0,,
140,Disks (device),4.0,2.0,,,1.0,,,,,1.0,,
141,Slipping,1.0,1.0,,,1.0,,,,,,,
142,Pregnant Women,1.0,,,,,,,,,,,
143,Programs,1.0,,,,,,,,,,,
144,AID - Artificial insemination by donor,3.0,,,,,,,,,,,
145,Assisted (qualifier value),4.0,1.0,,,,1.0,,,,,,
146,Financial (qualifier),2.0,,,,,,,,,,,
147,Manufactured aid,3.0,,,,,,,,,,,
148,Programs - Publication Format,1.0,,,,,,,,,,,
149,What subject filter - Financial,2.0,,,,,,,,,,,
150,dacarbazine/doxorubicin/ifosfamide protocol,3.0,,,,,,,,,,,
151,financial - billing arrangement,2.0,,,,,,,,,,,
152,Birth Weight,1.0,,,,,,,,,,,
153,Contraceptive methods,5.0,6.0,,,2.0,,1.0,,1.0,,2.0,
154,Toprol-XL,1.0,,,,,,,,,,,
155,Obesity,3.0,5.0,1.0,,1.0,1.0,1.0,1.0,,,,
156,BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20,3.0,3.0,,,,1.0,1.0,1.0,,,,
157,"Obesity, CTCAE",3.0,3.0,,,,1.0,1.0,1.0,,,,
158,Mucin-16,2.0,2.0,1.0,,1.0,,,,,,,
159,Hematologic Tests,5.0,3.0,1.0,,2.0,,,,,,,
160,Blood test device,4.0,3.0,1.0,,2.0,,,,,,,
161,Stomach,10.0,6.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0
162,Acid reflux,1.0,1.0,,,1.0,,,,,,,
163,CDISC SDTM Gastrointestinal Test Name Terminology,1.0,,,,,,,,,,,
164,Reflux,1.0,,,,,,,,,,,
165,Reflux within Device Medical Device Problem,1.0,,,,,,,,,,,
166,Work,3.0,4.0,,,1.0,,,,,2.0,1.0,
167,Labor (Childbirth),3.0,2.0,,,1.0,,,,,1.0,,
168,Typhoid Fever,2.0,1.0,,,1.0,,,,,,,
169,Consent Type - Typhoid,1.0,1.0,,,1.0,,,,,,,
170,Depressed Level of Consciousness,4.0,8.0,5.0,,,1.0,,,,1.0,1.0,
171,"Fractures, Open",1.0,,,,,,,,,,,
172,tibia and fibula,1.0,,,,,,,,,,,
173,Cyst,5.0,6.0,1.0,1.0,2.0,1.0,,,,,1.0,
174,Rhinorrhea,3.0,1.0,1.0,,,,,,,,,
175,Tenderness of gums,2.0,2.0,,,1.0,,,,,1.0,,
176,Tri-Cyclen,1.0,,,,,,,,,,,
177,Pre-Eclampsia,2.0,1.0,,,1.0,,,,,,,
178,Oral cavity,3.0,5.0,,,2.0,,,,,,,3.0
179,Ball Device,1.0,1.0,,,1.0,,,,,,,
180,Entire mouth region,2.0,3.0,,,2.0,,,,,,,1.0
181,Entire oral cavity,2.0,3.0,,,2.0,,,,,,,1.0
182,Internal,1.0,5.0,1.0,,3.0,,,,,,1.0,
183,Only a Little,1.0,2.0,,,2.0,,,,,,,
184,Oral region,2.0,3.0,,,2.0,,,,,,,1.0
185,Smaller,1.0,1.0,,,1.0,,,,,,,
186,Within,2.0,5.0,1.0,,3.0,,,,,,1.0,
187,Fibroadenoma,1.0,,,,,,,,,,,
188,Breast,3.0,6.0,,,3.0,,,,,2.0,1.0,
189,Entire breast,2.0,4.0,,,1.0,,,,,2.0,1.0,
190,Fibroadenoma of breast,1.0,,,,,,,,,,,
191,Manic,2.0,1.0,,,,,,,,,1.0,
192,Manic mood,2.0,1.0,,,,,,,,,1.0,
193,Attention,1.0,,,,,,,,,,,
194,Attention G-code,1.0,,,,,,,,,,,
195,Eating Disorders,10.0,10.0,3.0,,3.0,,,1.0,,,1.0,2.0
196,Psychotic Disorders,4.0,2.0,,,1.0,,,,,,1.0,
197,Mental disorders,12.0,11.0,3.0,,1.0,2.0,,,,1.0,3.0,1.0
198,Weight Gain,2.0,3.0,,,1.0,,,1.0,,1.0,,
199,Infertility,8.0,7.0,2.0,,3.0,,,,,,2.0,
200,Bothered by Weight Gain,2.0,3.0,,,1.0,,,1.0,,1.0,,
201,Have Gained Weight,2.0,3.0,,,1.0,,,1.0,,1.0,,
202,Weakness,2.0,,,,,,,,,,,
203,"Weight Gain, CTCAE",2.0,3.0,,,1.0,,,1.0,,1.0,,
204,Abnormal,1.0,2.0,,,2.0,,,,,,,
205,Abnormal Reference Range,1.0,2.0,,,2.0,,,,,,,
206,Observation Interpretation - Abnormal,1.0,2.0,,,2.0,,,,,,,
207,Toxic Shock Syndrome,1.0,,,,,,,,,,,
208,Staphylococcal toxic shock syndrome,1.0,,,,,,,,,,,
209,Excessive tearing,1.0,,,,,,,,,,,
210,Watery eyes,1.0,,,,,,,,,,,
211,Hypochondriasis,1.0,1.0,,,1.0,,,,,,,
212,"FAT1 protein, human",3.0,8.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,
213,Fat Measurement,3.0,8.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,
214,Fatty acid glycerol esters,3.0,8.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,
215,Obese build,3.0,8.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,
216,"Platelet Glycoprotein 4, human",3.0,8.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,
217,doxorubicin/fluorouracil/triazinate protocol,3.0,8.0,1.0,,2.0,1.0,1.0,2.0,,,1.0,
218,Arthritis,6.0,3.0,1.0,,2.0,,,,,,,
219,"Arthritis, CTCAE",6.0,3.0,1.0,,2.0,,,,,,,
220,Advanced phase,1.0,1.0,,,1.0,,,,,,,
221,Throat Carcinoma,1.0,1.0,,,1.0,,,,,,,
222,Suicidal,1.0,,,,,,,,,,,
223,Attention deficit hyperactivity disorder,14.0,14.0,4.0,,3.0,,1.0,,,,4.0,2.0
224,Diabetes Mellitus,15.0,21.0,4.0,,8.0,2.0,1.0,,,1.0,4.0,1.0
225,Diabetes,15.0,21.0,4.0,,8.0,2.0,1.0,,,1.0,4.0,1.0
226,Acquired Immunodeficiency Syndrome,1.0,,,,,,,,,,,
227,Hepatitis C,3.0,1.0,,,1.0,,,,,,,
228,hepatitis C virus,3.0,1.0,,,1.0,,,,,,,
229,bulimic,2.0,1.0,1.0,,,,,,,,,
230,Overweight,5.0,2.0,1.0,,,,,,,,1.0,
231,Hypesthesia,7.0,4.0,2.0,,1.0,,,,,,,1.0
232,Numbness,7.0,4.0,2.0,,1.0,,,,,,,1.0
233,Throat,3.0,7.0,,,4.0,,,1.0,,2.0,,
234,Eye,4.0,6.0,1.0,,1.0,,1.0,1.0,,,2.0,
235,Chest Pain,12.0,11.0,2.0,,6.0,,,,,2.0,1.0,
236,Wrist joint,1.0,1.0,1.0,,,,,,,,,
237,Nausea,7.0,13.0,4.0,,6.0,,,,,1.0,2.0,
238,Wrist,1.0,1.0,1.0,,,,,,,,,
239,All of the Time,2.0,3.0,,,2.0,,,1.0,,,,
240,Always (AcknowledgementCondition),2.0,3.0,,,2.0,,,1.0,,,,
241,Always (frequency),2.0,3.0,,,2.0,,,1.0,,,,
242,Anterior portion of neck,3.0,7.0,,,4.0,,,1.0,,2.0,,
243,Baresthesia,1.0,2.0,2.0,,,,,,,,,
244,Borg Category-Ratio 10 Perceived Exertion Score 2,2.0,,,,,,,,,,,
245,Bothered by Nausea,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
246,Chest pain:Finding:Point in time:^Patient:Ordinal,9.0,7.0,1.0,,4.0,,,,,1.0,1.0,
247,Cough Frequency,7.0,4.0,,,2.0,1.0,,,,,1.0,
248,"Cough, CTCAE",7.0,4.0,,,2.0,1.0,,,,,1.0,
249,Coughing,8.0,7.0,,,4.0,1.0,,,,1.0,1.0,
250,Entire eye,3.0,2.0,1.0,,1.0,,,,,,,
251,Entire throat (surface region of neck),3.0,7.0,,,4.0,,,1.0,,2.0,,
252,Entire wrist region,1.0,1.0,1.0,,,,,,,,,
253,Eye Specimen,3.0,2.0,1.0,,1.0,,,,,,,
254,Eye Specimen Source Code,3.0,2.0,1.0,,1.0,,,,,,,
255,Feel Nausea,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
256,Have Been Coughing,7.0,4.0,,,2.0,1.0,,,,,1.0,
257,Have Nausea,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
258,How Much Distress Cough,7.0,4.0,,,2.0,1.0,,,,,1.0,
259,How Much Distress Nausea,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
260,How Much Nausea During This Period,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
261,How Often Nausea,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
262,Intensity and Distress 1,2.0,,,,,,,,,,,
263,Mild (qualifier value),6.0,5.0,1.0,,2.0,,,,,1.0,,1.0
264,Nausea Subscale,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
265,Nausea Visual Analogue Scale,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
266,"Nausea, CTCAE 3.0",7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
267,"Nausea, CTCAE 5.0",7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
268,Nausea:Presence or Threshold:Point in time:^Patient:Ordinal,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
269,Orbital region,3.0,2.0,1.0,,1.0,,,,,,,
270,Pharyngeal structure,3.0,7.0,,,4.0,,,1.0,,2.0,,
271,Pressure (finding),1.0,2.0,2.0,,,,,,,,,
272,Pressure - action,1.0,2.0,2.0,,,,,,,,,
273,Pressure- physical agent,1.0,2.0,2.0,,,,,,,,,
274,Recent,1.0,5.0,1.0,,1.0,,,,,1.0,2.0,
275,Slight (qualifier value),2.0,,,,,,,,,,,
276,Specimen Source Codes - Throat,3.0,7.0,,,4.0,,,1.0,,2.0,,
277,Specimen Type - Throat,3.0,7.0,,,4.0,,,1.0,,2.0,,
278,Throat Homeopathic Medication,3.0,7.0,,,4.0,,,1.0,,2.0,,
279,Usual Severity Cough,7.0,4.0,,,2.0,1.0,,,,,1.0,
280,Usual Severity Nausea,7.0,12.0,4.0,,6.0,,,,,1.0,1.0,
281,slight fever,1.0,1.0,1.0,,,,,,,,,
282,Rokitansky Kuster Hauser syndrome,1.0,1.0,,,,,,,,,1.0,
283,Syndrome,6.0,8.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,
284,Mayer,1.0,,,,,,,,,,,
285,Frequent headache,1.0,1.0,,,1.0,,,,,,,
286,"Multiple Sclerosis, Chronic Progressive",1.0,1.0,,,1.0,,,,,,,
287,Adderall,1.0,2.0,,1.0,1.0,,,,,,,
288,Chest,8.0,7.0,2.0,,3.0,,,,,,1.0,1.0
289,Anterior thoracic region,8.0,7.0,2.0,,3.0,,,,,,1.0,1.0
290,Arm Pain,2.0,2.0,1.0,,1.0,,,,,,,
291,Pelvis,5.0,2.0,1.0,,1.0,,,,,,,
292,Dysfunction,1.0,,,,,,,,,,,
293,DYSFUNCTION - SKIN DISORDERS,1.0,,,,,,,,,,,
294,Functional disorder,1.0,,,,,,,,,,,
295,physiopathological,1.0,,,,,,,,,,,
296,Diarrhea,6.0,4.0,,,3.0,,,,,,,1.0
297,"Diarrhea, CTCAE",6.0,4.0,,,3.0,,,,,,,1.0
298,Have Diarrhea,6.0,4.0,,,3.0,,,,,,,1.0
299,How Much Distress Diarrhea,6.0,4.0,,,3.0,,,,,,,1.0
300,How Often Diarrhea,6.0,4.0,,,3.0,,,,,,,1.0
301,Illness (finding),3.0,7.0,3.0,,1.0,1.0,,,,,1.0,1.0
302,Usual Severity Diarrhea,6.0,4.0,,,3.0,,,,,,,1.0
303,Malignant neoplasm of prostate,4.0,3.0,1.0,,1.0,,,,,,1.0,
304,NCI CTEP SDC Prostate Cancer Sub-Category Terminology,4.0,3.0,1.0,,1.0,,,,,,1.0,
305,Prostate Cancer Pathway,4.0,3.0,1.0,,1.0,,,,,,1.0,
306,Prostate carcinoma,4.0,3.0,1.0,,1.0,,,,,,1.0,
307,Recovery - action,3.0,3.0,,2.0,,,,,,1.0,,
308,Hormones,2.0,,,,,,,,,,,
309,Hemorrhage,2.0,2.0,,,1.0,,,,,,,1.0
310,polyps,1.0,,,,,,,,,,,
311,Feces,4.0,4.0,,,,1.0,1.0,2.0,,,,
312,Specimen Source Codes - Polyps,1.0,,,,,,,,,,,
313,Stool seat,1.0,,,,,,,,,,,
314,Thyroid Alteration,2.0,1.0,,,1.0,,,,,,,
315,Humulin,1.0,,,,,,,,,,,
316,Humulin S,1.0,,,,,,,,,,,
317,Humulin insulin,1.0,,,,,,,,,,,
318,Carotidynia,1.0,,,,,,,,,,,
319,Body Fluids,1.0,1.0,,,,,,,,,1.0,
320,1 (finding),1.0,10.0,2.0,,1.0,1.0,,2.0,,,3.0,1.0
321,Fluid Specimen Code,1.0,1.0,,,,,,,,,1.0,
322,Fluid behavior,1.0,1.0,,,,,,,,,1.0,
323,From,6.0,16.0,4.0,,4.0,1.0,,,,1.0,5.0,1.0
324,Liquid substance,2.0,1.0,,,,,,,,,1.0,
325,fluid - substance,1.0,1.0,,,,,,,,,1.0,
326,Diaper Rash,2.0,1.0,,,1.0,,,,,,,
327,Diaper Rash brand of topical emollient,2.0,1.0,,,1.0,,,,,,,
328,Ovarian Cysts,2.0,1.0,,,1.0,,,,,,,
329,Depersonalization Disorder,2.0,2.0,1.0,,1.0,,,,,,,
330,Antibiotics,3.0,3.0,2.0,,,,,,,,,1.0
331,Hypersensitivity,10.0,10.0,1.0,,2.0,,1.0,1.0,,2.0,2.0,1.0
332,Antimicrobial susceptibility,1.0,,,,,,,,,,,
333,Generalized gingival recession,1.0,,,,,,,,,,,
334,Increased Sensitivy,1.0,,,,,,,,,,,
335,Personality Sensitivity,1.0,,,,,,,,,,,
336,Signal Sensitivity,1.0,,,,,,,,,,,
337,stimulus sensitivity,1.0,,,,,,,,,,,
338,Esthesia,2.0,2.0,,,,,,1.0,,,1.0,
339,Like,4.0,10.0,2.0,,3.0,,1.0,,,,2.0,2.0
340,Pain of left hip joint,1.0,,,,,,,,,,,
341,Sensation quality,2.0,2.0,,,,,,1.0,,,1.0,
342,Aphthous Stomatitis,1.0,1.0,1.0,,,,,,,,,
343,Muscle Tissue,2.0,1.0,,,,,,,1.0,,,
344,Muscle twitch,1.0,1.0,,,1.0,,,,,,,
345,Involuntary,1.0,,,,,,,,,,,
346,Muscle (organ),2.0,1.0,,,,,,,1.0,,,
347,Verruca plana,1.0,,,,,,,,,,,
348,Blood Clot,2.0,4.0,1.0,,3.0,,,,,,,
349,Thrombus,2.0,3.0,1.0,,2.0,,,,,,,
350,Oral sedation,1.0,,,,,,,,,,,
351,Acute - Triage Code,1.0,,,,,,,,,,,
352,Admission Level of Care Code - Acute,1.0,,,,,,,,,,,
353,acute,1.0,,,,,,,,,,,
354,acute inpatient encounter,1.0,,,,,,,,,,,
355,Blindness,1.0,,,,,,,,,,,
356,Optic Nerve,1.0,1.0,1.0,,,,,,,,,
357,Negation,5.0,42.0,8.0,1.0,11.0,5.0,3.0,,1.0,3.0,4.0,6.0
358,Sleep Paralysis,1.0,,,,,,,,,,,
359,Soma,1.0,2.0,,,1.0,,,,,,1.0,
360,Medications,8.0,17.0,2.0,,4.0,1.0,,2.0,,2.0,2.0,4.0
361,Pharmaceutical Preparations,10.0,23.0,5.0,,3.0,1.0,,1.0,,2.0,3.0,8.0
362,medication - HL7 publishing domain,5.0,11.0,1.0,,3.0,1.0,,1.0,,1.0,2.0,2.0
363,Polycystic Ovary Syndrome,10.0,9.0,5.0,,1.0,1.0,,,,,2.0,
364,Pregnancy Tests,1.0,2.0,1.0,,,,,,,1.0,,
365,Clomid,1.0,1.0,,,,,,,,,1.0,
366,Wellbutrin XL,1.0,,,,,,,,,,,
367,ferrous sulfate,1.0,,,,,,,,,,,
368,Vaginal Hemorrhage,2.0,1.0,,,,,,,,,1.0,
369,Excess,1.0,,,,,,,,,,,
370,Mucous body substance,2.0,2.0,,,2.0,,,,,,,
371,Nasal congestion (finding),3.0,1.0,,,,,,1.0,,,,
372,Specimen Source Codes - Mucus,2.0,2.0,,,2.0,,,,,,,
373,mucus layer,2.0,2.0,,,2.0,,,,,,,
374,Tetanus,2.0,,,,,,,,,,,
375,"tetanus toxoid vaccine, inactivated",2.0,,,,,,,,,,,
