idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,informational_support,emotional_support,esteem_support,tangible_support,network_support,support_needs
2456611,I wasn't going to ask this question. But who knows anything about gallbladders?,"I went to my doctor with bad pain in the upper part of my stomach, just below my breasts. I do have acid reflux. He felt around and it hurt on my right side too. He ordered an ultrasound. I am in between insurance and do not have any coverage until July. I can't afford to private pay. That was yesterday and I am still in pain. I am taking Nexium pills twice a day. 
I don't know if I am imagining all this, but now my right upper back hurts, but my left side hurts too. He asked me if I had black or tarry stools and I didn't until tonight....Now I do.. Have any of you had these symptoms? Or different ones? It seems as if everyone has something different...The other thing that concerned me is my temperature since yesterday is running about 99.2. 

I guess if the pain becomes unbearable I will go to the E.R. and they cannot refuse me care. Please let me know your experience with gallbladders.","Yes, you have all the symptoms of gall stones.  I also experienced a lot of pain in my shoulders and was told that is part of it. I found that if I stayed away from all fatty and fried foods I would feel a """"little"""" better.  The attacks started becoming more frequent, it was like a band of pain around my back that was winding around to my solar plexus. When this happened, I was unable to lie down, sit up or anything else. I just couldn't get comfortable. The last attack came when I ate chili for dinner.  Wow! I ended up in the emergency room and after an ultra sound, was told I was off to the operating room. My Doctor told me it wasn't life threatening, the pain was from the gall bladder having spasms when the stone was blocking the bile which put me into almost a frenzy of pain.  I had the Old surgery, this was before the laproscopic surgery was around.  I lost 26 lbs through the ordeal as well.
Later, I met a friend who also had his gallbladder removed only his was gangerous!  If he didn't have surgery right away he would have died!  So it is nothing to fool around with, if you have another attack, go to the hospital for an ultra-sound where they will determine what needs to be done....in the meantime, plenty of fluids, rest as much as you can and be very careful what you eat.  Avoid spices, eat bland until this is taken care of.  I let mine go about a year and felt so good after that I am still shaking my head as to why I didn't do it sooner!
Also, eat very small amounts several times a day to avoid another attack.
I wish you the best of luck with this!",gallbladders,,,NA,,,,,"I don't know if I am imagining all this, but now my right upper back hurts, but my left side hurts too.","now my right upper back hurts, but my left side hurts too.",,,,,,,NA,NA,,,,,NA,NA,,,,,,Have any of you had these symptoms? Or different ones?,Yes: I wish you the best of luck with this!
3300654,Does anyone know much about  Cholestasis during pregnancy?,"I developed a major itching last week over my entire body, my doctor prescribed Urso for me which has helped a little bit, I have heard that it is dangerous to the baby and can result in the baby being stillborn. I had to go to the hospital today for fetal monitoring and when they called my Ob/gyn to let him know that things were okay on the monitor and to see if he wanted me to come in again next week, my doctor told the nurse that if the medication is working then they will not induce me as he had previously told me. I will be 38 weeks pregnant on thursday and I am very worried about this condition, how can I convince my doctor that I want to be induced? Not only is the stress of worrying about this driving me crazy, so is the itching and lack of sleep its causing. Thank you.","I'm sorry to hear about that! It must be dreadful!

I'm going to include the link to a pregnancy and parenting forum that I think you might find helpful. I know some other women in there have suffered through rashes etc, and they may have some tips on how to deal with them :)",Cholestasis during pregnancy,,Female,NA,,,,,I will be 38 weeks pregnant on thursday and I am very worried about this condition,pregnancy,,,,,,,NA,NA,,,,,NA,NA,,,,,,how can I convince my doctor that I want to be induced?,Yes: I'm sorry to hear about that! It must be dreadful!
323576,"How many ladies here got pregnant due to """"condom failure""""?","I had just started the NuvaRing and had to use back-up protection for 1 month.  Well, 1 week after I put the ring in, we had the condom slip off and didn't realize it.  I know out of me, my brother and my sister, one of us was concieved due to a condom failure.  :)  Just curious to see how many of you got a """"little surprise"""" after a condom accident!  I already have 2 kids and would gladly welcome another little one, but just didn't think we would be possibly be getting pregnant right now because our youngest is only 4 months old.","I'm not a lady nor have I ever been pregnant myself but I do have 5 kids.  Of my 5, 1 is adopted and I have a set of twins.  All 3 pregnancies were due to condom failures... talk about """"little surprises""""... 4 of them from 3 surprises.  Even though I've had some pretty rotten luck with condoms I'm so lucky to have the kids I do.",condom,,,NA,,,,,,,,,"Just curious to see how many of you got a """"little surprise"""" after a condom accident!",condom accident,,,NA,NA,,,,,NA,NA,,,,,,"How many ladies here got pregnant due to """"condom failure""""?","Yes:  All 3 pregnancies were due to condom failures... talk about """"little surprises""""... 4 of them from 3 surprises.  Even though I've had some pretty rotten luck with condoms I'm so lucky to have the kids I do."
3464360,"I am 12 weeks pregnant and EXTREMELY irritable, did this happen to you?","Even before I found out I was pregnant, I have been really really irritable. I seem not to be able to control my anger. I think it is the hormones, but my husband seems to think I am """"choosing"""" to act this way. It is really hard for me to control and having zero sympathy just makes it worse. What should I do? Everything from traffic, to waiting in line, to all the chores that get overlooked, my toddler being difficult seems to push me over the edge. I am not dangerous or violent, but I do lash out verbally and inside can feel annoyance and irritability mounting. What did you do and did this pass with time?",None,irritable,,,NA,It is really hard for me to control and having zero sympathy just makes it worse.,really hard for me to control,,,,,,,,,"Even before I found out I was pregnant, I have been really really irritable.",irritable,NA,NA,,,,,NA,NA,,,,,,"I am 12 weeks pregnant and EXTREMELY irritable, did this happen to you?",No
479785,I have been feeling run down and am trying to find out whats wrong.Can anyone help or give me ideas????,"Been feeling run down in the past few weeks.am with my doc each week and trying to sort it out but to no avail yet.hes done bloods but each time shows up nothing.he has so far cancelled out the possibility of diabetes,hypoglycemia,thyroid problems,anemia,iron levels.its getting frustrating now and have started taing multivitamins and vitamin b12 to see if it will help.my doc has on my request taken bloods to check my b12 levels.i am trying everything.anyone able to help??basically whats happening is my energy crashes.i have good energy 75% of the time but then my energy will drain out of me.it happens very quickly.around my eyes feel sore and tired when this happens.even when i feel good i still have a spaced out feeling.i eat well,better than most people i know,dont smoke and havent touched a drink in 3 months.its affecting my college work so any help would be appriciated.even if it seems plain obvious.i want to check out every possibility.thank you very much",Did the doc check you for mono?  that would be my only other guess.,feeling run down,,,NA,,,,,basically whats happening is my energy crashes.i have good energy 75% of the time but then my energy will drain out of me.,energy will drain out,its getting frustrating now and have started taing multivitamins and vitamin b12 to see if it will help,multivitamins and vitamin b12,,,,,NA,NA,,,,,NA,NA,,,,,,I have been feeling run down and am trying to find out whats wrong.Can anyone help or give me ideas?,No
1478401,"A question concerning serious muscle pain,?","I've been to five doctors, had all kinds of tests, spent a whole lot of money and no one has a clue, so maybe someone on here might know something.....I have a deep, burning pain in the muscles of my upper back, shoulders and upper arms with shooting pains in my hands from my fingers halfway up my forearms, I have no grip anymore and my hands feel like I'm wearing a pair of boxing gloves,I get intense cramps in my calves, biceps and back, my muscles have no stamina at all. This has been slowly coming on over the last ten years or so, getting much worse in the last year....I am a 48 yr old male, construction worker, physically active, don't smoke, don't drink, eat right, take vitamins and work out,.... I've been to an internist,a rheumatologist, 2 neurologists, and a diagnostic clinic. So far no one has a clue,so I'm wondering if anyone here might know of something, maybe my doctors are looking in the wrong place. Thanks for your answers.",it sounds like muscular dystrophy to me...and that is a nervous system problem...look it up and see if you can match your symptoms with muscular dystrophy symptoms,muscle pain,45-54 years old,Male,NA,,,,,I have no grip anymore and my hands feel like I'm wearing a pair of boxing gloves,no grip anymore,,,,,,,NA,NA,,,"I've been to five doctors, had all kinds of tests, spent a whole lot of money and no one has a clue, so maybe someone on here might know something",muscle pain,NA,NA,,,,,,"I'm wondering if anyone here might know of something, maybe my doctors are looking in the wrong place.",No
3536852,What Medication Works For Bipolar Disorder?,"I haven't been to the doctor in a while, but I recently went to a new one, who I think has me all wrong.  I am bipolar, but I think that she diagnosed me with depression and anxiety.  She prescribed Lexapro, which is for depression.  I haven't taken it yet, 1) because I have been feeling better since then, and 2) because most depression medications haven't worked for me and I don't like dealing with side effects.  If you are bipolar, what medication have you found success with?","I have tried several over the past few years and none have really worked.  Rigt now im on topamax (which is normally used for migranes) but is used in bipoloar also, along with a small dose of paxil.  The side effects were really bad the first two weeks(bad headaches, ringing in the ears, tingling in the tips of fingers and toes, no soda at all - any carbonated beverages taste like blood, but have since gone away, (except for the carbonation thing) and I actually do feel pretty good now.  And topamax, is also used as a weight loss pill too!! BONUS!!  (they say topamax is similar to depakote without the weight gain)",Bipolar Disorde,,,NA,,,,,,,,,,,,,NA,NA,,,"I haven't been to the doctor in a while, but I recently went to a new one, who I think has me all wrong.",doctor,NA,NA,,,,,,"If you are bipolar, what medication have you found success with?",No
3668350,is there a g.p or mid wife in the house?,"i think i might be pregnant but have no �� to buy a hpt.
my symptoms are 
headaches,sudden mild pains in my stomach,really moody,increase in cervical mucus(thin an creamyish),constantly feeling blaoted,feelin sick but not vomiting,more tierd than usual and peeing more than usual.
my period was due 5th of may but didnt apear yet,last period was 5th april my cycles are 28-30 days,had unprotected sex 16th,18th,20th 21st and 23rd or april.",sounds like it!! you really need to take a test or see your gp to confirm it,pregnant,,,NA,"feelin sick but not vomiting,more tierd than usual and peeing more than usual.",more tierd than usual and peeing,,,,,,,,,,,NA,NA,,,,,NA,NA,,,,,,is there a g.p or mid wife in the house?,No
3867752,Did I have a miscarriage?,"Before my period came 2 days late, I had some unusual cramping. I received it but it was only a little bit of blood and a little brownish. Then I had a blood clot, then my regular period. It was a little runnier and a bit brighter than usual. The next night I had another blood clot, about the size of a tealight candle. It's been normal after that. Is there any way for the doctors or anyone to be able to tell if that was a miscarriage, or if I was under too much stress?","you should get check by your dr. he/she will be able to do a blood test which can determine the levels of hcg in your blood which would indicate pregnancy. they can also tell by these levels if you are in the process of miscarrying. It happened to me. if you are pregnant,and your levels are low, they will probably recommend bed rest. get checked by your dr. good luck",miscarriage,,,NA,,,,,"Before my period came 2 days late, I had some unusual cramping.",cramping,,,,,,,NA,NA,,,,,NA,NA,,,,,,"Is there any way for the doctors or anyone to be able to tell if that was a miscarriage, or if I was under too much stress?",No
2294175,Any women have/had maternal diabetes?,"I just found out that my glucose blood test was abnormal and I am getting another glucose test done tomorrow to see if I am developing diabetes. I am also going to a dietition later in the week so they can tell me what to and what not to eat so that I can try to prevent getting diabetes. Just in case I do get diabetes, any women out there who had it or got it, does it cause difficulties? What effects does it cause?","I had gestational diabetes with both of my boys.  I did not feel any effects from it either time, and both times it was gone as soon as i delivered.  Just dont eat alot of sugars and starches and you will be fine.",maternal diabetes,,,NA,,,,,,,,,I just found out that my glucose blood test was abnormal and I am getting another glucose test done tomorrow to see if I am developing diabetes.,glucose blood test,,,NA,NA,,,,,NA,NA,,,,,,"Just in case I do get diabetes, any women out there who had it or got it, does it cause difficulties? What effects does it cause?",No
119294,Anyone familiar with this type of pain/injury?,"I'm 25.  I played baseball through high school and now I play softball.  I've always had pain in my throwing elbow after 10-12 hard throws and after that it spreads to my bicep and forearm.  The pain is worst on the top and bottom of the elbow/joint(imagine two points of a hinge).  I've mostly played 1st base to reduce the number of throws I make but was recently moved to short stop so it's starting up again.  I've tried a brace, wrapping it, ice, heat, everything.  I'm going to get it checked out because I don't want to cause long term damage, but I'm just wondering if anyone else has experienced something similar and if so, what ended up being the problem?  Oh yeah- I fractured my elbow (cracked it right up the tip) when I was 9, not sure if that has anything to do with it.","YOU NEED TO STRETCH YOUR MUSCLES IN YOUR ARM BEFORE YOU PLAY I GET THE SAME PROBLEM, IT COMES WITH AGE.",pain/injury,25-34 years old,,NA,,,,,The pain is worst on the top and bottom of the elbow/joint(imagine two points of a hinge).,pain is worst,,,,,,,NA,NA,,,,,NA,NA,,,,,,"m just wondering if anyone else has experienced something similar and if so, what ended up being the problem?",No
684981,serious personal help needed via president bill clinton. I NEED HELP. janet novikoff (regestered democrat)?,"my husband & i are on SSD. I suffer from chronic hepatitis B & C, severe seizure disorder, severe congenital temporal lobe scarring, anorexia, & psychiatric problems. my husband suffers from degenerative arthritis of the spine and buldging discs in the head & neck.(severe pain), & some psychiatric problems. we were told that our total income of $1592.00/mo. was """"too much money"""" & i could not get dentures, that only cost $600.00, as i found the cheapest place over an hour away from my home in millbrook, n.y.. I NEED HELP & NO ONE WILL HELP ME! MR. PRES. BILL CLINTON, PLEASE HELP ME. I HAVE NOWHERE TO TURN. we are poverty level people & i am very ill. PLEASE HELP ME. JANET NOVIKOFF 845-677-3090. i am a devout democrat & vote accordingly. thank you.",Medical Treatment and Surgery is very cheap in India.There is one company that is very famous in India that arranges  surgery for foreigners in India.They are called the Forerunners Healthcare.I read a lot about them in the Newspapers and about their patient stories.I have also read that they arrange financing for american patients.They also have photos pasted of their International patients.You can checkout their website.,degenerative arthritis of the spine,NA,NA,NA,I NEED HELP & NO ONE WILL HELP ME!,too much money,NA,NA,I HAVE NOWHERE TO TURN. we are poverty level people & i am very ill. PLEASE HELP ME.,degenerative arthritis of the spine,,,,,NA,NA,NA,NA,,,,,NA,NA,,,Yes:  I HAVE NOWHERE TO TURN. we are poverty level people & i am very ill. PLEASE HELP ME.,,,,Yes: Whole Answer
